商品名,英文品名,許可證字號,藥品分類,劑型,規格,主要成分,適應症摘要,推定用途分類,適應症完整原文,持有廠商,是否有效,備註,資料來源
待可芬外用凝膠１％（待克菲那）〝華興〞,"DICLOFEN GEL 1% (DICLOFENAC) ""H.S.""",衛署藥製字第035037號,指示藥,外用凝膠劑,軟管裝,Diclofenac,消炎止痛,疼痛／消炎止痛外用藥,短期使用以緩解因發炎反應引起之局部疼痛。,華興化學製藥廠股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_5c731d38-7d92-40ec-8ff7-6067a1510b81?c=2；https://mcp.fda.gov.tw/insert/lablefiles/170ecce9-d5e3-4fb2-af3b-bc33bbd09aee_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/170ecce9-d5e3-4fb2-af3b-bc33bbd09aee_7?c=2;https://mcp.fda.gov.tw/insert/lablefiles/170ecce9-d5e3-4fb2-af3b-bc33bbd09aee_0?c=2
剋菌寧乳膏２０公絲/公克（克多可那挫）,COTRIZINE CREAM 20MG/GM (KETOCONAZOLE),衛署藥製字第035053號,處方藥,乳膏劑,軟管裝,Ketoconazole,黴菌感染,香港腳／股癬／體癬／黴菌感染,皮膚黴菌、酵母菌所引起的皮膚、頭髮及指甲感染症。,瑞士藥廠股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_9489ecd4-b27a-4901-8b1a-bfef5a7d4eda?c=2
貝莎克軟膏,BECYLIC OINTMENT,衛署藥製字第035055號,處方藥,軟膏劑,軟管裝;;塑膠瓶裝,Betamethasone；Salicylic acid,濕疹；皮膚炎；異位性皮膚炎；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬；扁平苔癬,濕疹／皮膚炎；異位性皮膚炎；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬；扁平苔癬,慢性異位性皮膚炎、神經性皮膚炎（單純苔癬）牛皮癬、濕疹、扁平苔癬、頭皮皮脂漏皮膚炎、汗皰、尋常性魚鱗癬等發炎症狀之解除。,美西製藥有限公司,是,依完整適應症判斷為乾癬／牛皮癬，已排除黴菌感染分類。；依完整適應症判斷為扁平苔癬，已排除黴菌感染分類。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第035055號；https://mcp.fda.gov.tw/insert/lablefiles/c1fc287b-f3b7-4184-9346-cf4ec786a6ce_0?c=2
"""派頓""癬膚淨外用液１％（克催瑪汝）","SENFUCIN TOPICAL SOLUTION 1%  ""PATRON"" (CLOTRIMAZOLE)",衛署藥製字第035059號,指示藥,外用液劑,瓶裝,Clotrimazole,黴菌感染；香港腳；股癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染、如：足癬（香港腳）股癬、汗斑。,臺灣派頓化學製藥股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_06e053d4-6cd4-4c18-bb41-f6793a5d19d7?c=2；https://mcp.fda.gov.tw/insert/lablefiles/808be9d1-2c3b-40c5-aac5-912a57f03ccb_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/808be9d1-2c3b-40c5-aac5-912a57f03ccb_2?c=2
"""衛達""恩莫痛凝膠1%(因多美沙信)","INOTON GEL 1% ""WEIDAR"" (INDOMETHACIN)",衛署藥製字第035072號,指示藥,外用凝膠劑,鋁管裝,Indomethacin (Eq To Indometacin),消炎止痛,疼痛／消炎止痛外用藥,暫時緩解局部疼痛,衛達化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第035072號；https://mcp.fda.gov.tw/insert/lablefiles/b9aed1bf-4a8f-42bd-822f-258f128639d7?c=2;https://mcp.fda.gov.tw/insert/lablefiles/b9aed1bf-4a8f-42bd-822f-258f128639d7?c=2
膚爾康乳膏,TEMENAZOLE CREAM,衛署藥製字第035140號,處方藥,乳膏劑,罐裝;;鋁軟管,Isoconazole Nitrate；Diflucortolone,搔癢；香港腳；股癬；體癬；灰指甲；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬,蕁麻疹／搔癢；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬,足癬（香港腳）、股癬、體癬、灰指甲、牛皮癬、蕁痲疹、頑癬、皮膚搔癢症及念珠菌感染。,培力藥品工業股份有限公司,是,依完整適應症判斷為乾癬／牛皮癬，已排除黴菌感染分類。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第035140號；https://mcp.fda.gov.tw/insert/lablefiles/1b150439-acbb-4c8e-bf5b-72688f0cbc4a?c=2;https://mcp.fda.gov.tw/insert/lablefiles/b7ecb1f6-988e-42ee-98fb-23635a5349e5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/be477a3f-3856-4bc9-aaaa-6da95f3c2f3c?c=2
聖卡堤亞 髮寶液２％,REGROWTH TOPICAL SOLUTION 2% CENCATIA,衛署藥製字第035144號,指示藥,外用液劑,瓶裝,Minoxidil,待人工確認,其他常見皮膚外用藥,雄激素禿髮。,美西製藥有限公司,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_2e34a824-7cc3-4868-b95d-9a89ba3eadfc?c=2
"""瑞安""舒腱凝膠５毫克/公克（匹洛西卡）","XICAM GEL 5mg/g (PIROXICAM) ""PURZER""",衛署藥製字第035170號,指示藥,外用凝膠劑,罐裝;;管裝,Piroxicam,消炎止痛,疼痛／消炎止痛外用藥,暫時緩解局部疼痛。,瑞安大藥廠股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第035170號；https://mcp.fda.gov.tw/insert/lablefiles/2d901cff-fff8-45ac-88e3-030308536ed5_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2d901cff-fff8-45ac-88e3-030308536ed5_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2d901cff-fff8-45ac-88e3-030308536ed5_5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2d901cff-fff8-45ac-88e3-030308536ed5_8?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2d901cff-fff8-45ac-88e3-030308536ed5_3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2d901cff-fff8-45ac-88e3-030308536ed5_7?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2d901cff-fff8-45ac-88e3-030308536ed5_6?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2d901cff-fff8-45ac-88e3-030308536ed5_0?c=2
悠樂膚乳膏,UTRASONE CREAM,衛署藥製字第035181號,處方藥,乳膏劑,塑膠罐裝;;軟管裝,Betamethasone；Clotrimazole,黴菌感染；香港腳；股癬,香港腳／股癬／體癬／黴菌感染,適用於下列皮膚感染的局部治療：由紅色毛癬菌、鬚瘡毛癬菌、絮狀表皮癬菌、大小芽胞菌所引起之足癬、股癬、頭癬。,瑞安大藥廠股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第035181號；https://mcp.fda.gov.tw/insert/lablefiles/549fa932-a231-4d42-a151-c39ec4cd86be?c=2;https://mcp.fda.gov.tw/insert/lablefiles/f6d68d96-2546-4224-a863-4e9778e28459?c=2
"""杏輝""必克多黴乳膏２０毫克/公克(克康那唑)","KETOCONAZOLE CREAM 20MG/GM ""SINPHAR""",衛署藥製字第035183號,處方藥,乳膏劑,鋁管裝;;塑膠罐裝,Ketoconazole,黴菌感染,香港腳／股癬／體癬／黴菌感染,皮膚黴菌和酵母菌所引起的皮膚、頭髮及指甲感染症。,杏輝藥品工業股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第035183號；https://mcp.fda.gov.tw/insert/lablefiles/d01b3c18-04bd-4f17-b717-4be5a65ae68e_4?c=2
悠利康乳膏０．０５％（可洛貝他松）〝應元〞,"EULIGAN CREAM 0.05% (CLOBETASONE) ""Y.Y.""",衛署藥製字第035188號,處方藥,乳膏劑,罐裝;;管裝,Clobetasone Butyrate,濕疹；皮膚炎,濕疹／皮膚炎,輕度濕疹、脂漏性皮炎、及其他對類固醇有反應的皮膚疾患。,應元化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第035188號；https://mcp.fda.gov.tw/insert/lablefiles/11c238c3-3a65-42b6-8b42-532e87478df3?c=2
"""寶齡富錦""清爽洗髮精20毫克/毫升(克多可那挫)","EPISONE SHAMPOO 20MG/ML (KETOCONAZOLE) ""B&F""",衛署藥製字第035216號,指示藥,外用液劑,瓶裝,Ketoconazole,黴菌感染,香港腳／股癬／體癬／黴菌感染,減少因黴菌感染所引起之頭皮屑治療之輔助劑,寶齡富錦生技股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第035216號；https://mcp.fda.gov.tw/insert/lablefiles/4f543aa9-1849-490c-a232-57cf51689c76_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4f543aa9-1849-490c-a232-57cf51689c76_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4f543aa9-1849-490c-a232-57cf51689c76_5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4f543aa9-1849-490c-a232-57cf51689c76_11?c=2;https://mcp.fda.gov.tw/insert/lablefiles/ef719200-7bdb-4314-a77a-aa4d51b4823d?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4f543aa9-1849-490c-a232-57cf51689c76_7?c=2;https://mcp.fda.gov.tw/insert/lablefiles/a80fe799-4a73-4fd8-8c93-e26aedd9d2a3?c=2
安鎮炎凝膠５０公絲/公克（伊妥芬那邁）,"REGEL 50MG/G (ETOFENAMATE) ""WINSTON""",衛署藥製字第035270號,指示藥,外用凝膠劑,塑膠軟管裝;;鋁管裝,Etofenamate,待人工確認,其他常見皮膚外用藥,肌肉性風濕症、上腕肩胛關節周圍炎、腰痛、坐骨神經痛、腱鞘　　　　　　炎、粘液囊炎。,溫士頓醫藥股份有限公司,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_bdbb6b0f-12b2-4b43-b7cb-05423d28fba0?c=2
"""羅得"" 愛膚康乳膏","AYFUCO CREAM ""ROOT""",衛署藥製字第035287號,處方藥,乳膏劑,軟管裝;;罐裝,Triamcinolone；Econazole,濕疹；黴菌感染,濕疹／皮膚炎；香港腳／股癬／體癬／黴菌感染,黴菌感染性濕疹、尿布疹、頑癬、環狀疱疹、毛髮癬菌性毛囊炎。,羅得化學製藥股份有限公司,是,依完整適應症判斷為環狀疱疹，歸入黴菌感染，不列為疱疹病毒感染。；依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第035287號；https://mcp.fda.gov.tw/insert/lablefiles/c61593dc-4065-4da2-b096-e2d51e06a86a_15?c=2;https://mcp.fda.gov.tw/insert/lablefiles/b1141be1-cc46-44ed-878f-93604292f8fd?c=2;https://mcp.fda.gov.tw/insert/lablefiles/cd8f40e4-bd98-4236-88fe-28a7274612a8?c=2;https://mcp.fda.gov.tw/insert/lablefiles/1b127819-4136-445e-8acb-12f99c37ce17?c=2;https://mcp.fda.gov.tw/insert/lablefiles/65a36406-a2fb-4370-b91a-2d9b4661fbf3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d1114b53-ab02-432a-86c8-a24eca3bf57f?c=2;https://mcp.fda.gov.tw/insert/lablefiles/b224df10-8da9-46bd-b3f9-e38cabb1f6f3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/adfd16a7-c711-45fb-a7b2-2034a981d829?c=2;https://mcp.fda.gov.tw/insert/lablefiles/96140b56-fb74-48f9-a9f6-c3be2e2053e7?c=2
替你美乳膏１０公絲/公克（老公根）,"TEIMEI CREAM 10MG/GM (CENTELLA ASIATICA) ""U CHU""",衛署藥製字第035293號,處方藥,乳膏劑,罐裝;;管裝,Centella Asiatica Titrated Extract (Purified),燙傷；傷口,燙傷／傷口照護,灼傷、燙傷、外傷、開刀創傷、皮膚移殖、潰瘍及褥瘡。,五洲製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
"""衛達""麗潔乳膏０．０５％（瑞婷羅）","RETIOL CREAM 0.05% ""WEIDAR"" (TRETINOIN)",衛署藥製字第035348號,指示藥,乳膏劑,瓶裝;;管裝,Tretinoin,青春痘,青春痘外用藥,尋常性痤瘡。,衛達化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
"""壽元"" 邁可康外用液１０公絲/公撮（百弗那挫）","MYCOSON EXTERNAL SOLUTION 10MG/ML ""S.Y."" (BIFONAZOLE)",衛署藥製字第035363號,處方藥,外用液劑,玻璃容器裝;;塑膠容器裝,Bifonazole,黴菌感染,香港腳／股癬／體癬／黴菌感染,由皮膚真菌屬、酵母菌屬、黴菌及其他種真菌所引起之感染症。,壽元化學工業股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第035363號；https://mcp.fda.gov.tw/insert/lablefiles/06f72c00-6396-4392-a0d7-61ad789df5a8_0?c=2
"""派頓""安滋乳膏０．３３公絲/公克（古阿蘇連)","ANZ CREAM 0.33MG/G ""PATRON"" (GUAIAZULENE)",衛署藥製字第035364號,指示藥,乳膏劑,管裝,Guaiazulene,濕疹；皮膚炎；燙傷,濕疹／皮膚炎；燙傷／傷口照護,炎症性皮膚炎、濕疹、火傷。,臺灣派頓化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_159a7681-adfe-4220-8c26-1b8f7cd6cce6?c=2
"""派頓""勝碘軟膏１０％（普威隆碘)","SAINT-IODINE OINTMENT 10% ""PATRON"" (POVIDONE-IODINE)",衛署藥製字第035368號,指示藥,軟膏劑,塑膠瓶裝;;塑膠軟管裝,Povidone-Iodine,傷口,燙傷／傷口照護,傷口消毒。,臺灣派頓化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_343a2772-5b1d-4cc7-b0e7-420a0eda6673?c=2；https://mcp.fda.gov.tw/insert/lablefiles/ac35a99b-4f86-48f5-b639-02547c3725da_0?c=2
"""杏輝""艾剋樂芙乳膏５０毫克/公克（艾賽可威）","ACLOVIR CREAM 50MG/GM (ACYCLOVIR) ""SINPHAR""",衛署藥製字第035391號,處方藥,乳膏劑,鋁管裝;;塑膠瓶裝,Acyclovir,病毒感染；抗病毒相關,病毒感染／抗病毒相關,由單純庖疹引起之感染。,杏輝藥品工業股份有限公司,是,依完整適應症判斷為疱疹／皰疹相關病毒感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_7015cb19-38bf-43a9-bb2e-15ba9c99addf?c=2；https://mcp.fda.gov.tw/insert/lablefiles/2d26c336-0f2a-4458-9c17-30d34d3188bd_1?c=2
剋黴乳膏１％（亦可那挫）,"ECONAZOLE CREAM 1% ""YUNG SHIN""",衛署藥製字第035395號,指示藥,乳膏劑,罐裝;;管裝,Econazole,黴菌感染；香港腳；股癬；體癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如：足癬（香港腳）、體癬、股癬、汗斑,永信藥品工業股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第035395號；https://mcp.fda.gov.tw/insert/lablefiles/61ad2662-dedc-4cb6-81e1-ba5d01cd7dab_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/61ad2662-dedc-4cb6-81e1-ba5d01cd7dab_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/61ad2662-dedc-4cb6-81e1-ba5d01cd7dab_0?c=2
"""衛達""來克炎乳膠１％","DICLOREN  EMULGEL 1% ""WEIDAR"" (DICLOFENAC SODIUM)",衛署藥製字第035397號,指示藥,軟膏劑,鋁軟管;;塑膠瓶裝,Diclofenac,消炎止痛,疼痛／消炎止痛外用藥,短期使用以緩解因發炎反應引起之局部疼痛。,衛達化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第035397號；https://mcp.fda.gov.tw/insert/lablefiles/4a68eb89-96e4-4b06-bece-abfe33c6c6c6_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4a68eb89-96e4-4b06-bece-abfe33c6c6c6_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4a68eb89-96e4-4b06-bece-abfe33c6c6c6_8?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4a68eb89-96e4-4b06-bece-abfe33c6c6c6_7?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4a68eb89-96e4-4b06-bece-abfe33c6c6c6_11?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4a68eb89-96e4-4b06-bece-abfe33c6c6c6_6?c=2
愛汝膚乳膏,ISOZUF CREAM,衛署藥製字第035428號,處方藥,乳膏劑,軟管裝;;罐裝,Isoconazole Nitrate；Diflucortolone,黴菌感染,香港腳／股癬／體癬／黴菌感染,指（趾）間區、手部、腹股溝之黴菌感染症。,華樺生技藥品股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第035428號；https://mcp.fda.gov.tw/insert/lablefiles/f3750422-5b9b-4557-8869-c7ac65731dd0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/50c212cc-f6dd-446e-a436-321841338dba?c=2
袪黴外用液劑10毫克/公克（克氯黴唑）,"Camazole Lotion 10mg/g ""Purzer"" (Clotrimazole)",衛署藥製字第035438號,指示藥,外用液劑,塑膠瓶裝,Clotrimazole,黴菌感染；香港腳；股癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染如：足癬（香港腳）、股癬、汗斑。,瑞安大藥廠股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_6b24bd88-23d9-4370-a792-33df8f1a9c35?c=2；https://mcp.fda.gov.tw/insert/lablefiles/88633e23-5241-4e89-a2e2-d8e5341fd54c_0?c=2
"""杏輝""因多美杏凝膠１０毫克/公克（吲哚美洒辛）","INDOL GEL 10MG/GM ""SINPHAR""(INDOMETHACIN)",衛署藥製字第035440號,指示藥,外用凝膠劑,鋁管裝;;塑膠罐裝,Indomethacin (Eq To Indometacin),消炎止痛,疼痛／消炎止痛外用藥,暫時緩解局部疼痛。,杏輝藥品工業股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第035440號；https://mcp.fda.gov.tw/insert/lablefiles/2bedef36-48fb-4b2e-b9d2-da8c57b7f2be_6?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2bedef36-48fb-4b2e-b9d2-da8c57b7f2be_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2bedef36-48fb-4b2e-b9d2-da8c57b7f2be_7?c=2
"""華盛頓""華蓉乳膏１０公絲/公克（艾索那挫）","WAZOLE CREAM 10MG/G (ISOCONAZOLE) ""W.P.""",衛署藥製字第035451號,指示藥,乳膏劑,瓶裝;;管裝,Isoconazole Nitrate,黴菌感染；香港腳；股癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如:足癬(香港腳)股癬、汗斑。,華盛頓製藥廠股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_699e2b19-d44a-4a4c-b640-7021c98e031f?c=2；https://mcp.fda.gov.tw/insert/lablefiles/4c0b7654-c1c2-468e-b799-89c25ff79bf4_0?c=2
"""井田""癒黴液10毫克/毫升。","ZYME SOLUTION 10MG/ML""CHINTENG""",衛署藥製字第035453號,指示藥,外用液劑,塑膠瓶裝,Econazole,黴菌感染；香港腳；股癬；體癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如：足癬（香港腳）、體癬、股癬、汗斑。,井田國際醫藥廠股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第035453號；https://mcp.fda.gov.tw/insert/lablefiles/cbe4e9a9-f5ad-4dff-ac6f-c2472ee143c5_5?c=2;https://mcp.fda.gov.tw/insert/lablefiles/cbe4e9a9-f5ad-4dff-ac6f-c2472ee143c5_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/cbe4e9a9-f5ad-4dff-ac6f-c2472ee143c5_9?c=2
“約克”依思朗乳膏,"ISONALON CREAM ""Y.K.""",衛署藥製字第035460號,處方藥,乳膏劑,塑膠瓶裝(HDPE);;鋁軟管裝,Isoconazole Nitrate；Diflucortolone,搔癢；香港腳；股癬；體癬；灰指甲；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬,蕁麻疹／搔癢；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬,足癬(香港腳)、股癬、體癬、灰指甲、牛皮癬、蕁麻疹、頑癬、皮膚搔癢症及念珠菌感染,約克製藥股份有限公司,是,依完整適應症判斷為乾癬／牛皮癬，已排除黴菌感染分類。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第035460號；https://mcp.fda.gov.tw/insert/lablefiles/9ff5294e-f8c1-4e2d-a572-85b855d689c2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/ffe929d8-d234-422f-ac06-abf75c0dc537?c=2;https://mcp.fda.gov.tw/insert/lablefiles/b5ef5910-61c2-42ea-af3a-73279b7c0d29?c=2
"""皇佳""可達爽乳膏0.5毫克/公克","COTASOL CREAM ""ROYAL""",衛署藥製字第035471號,處方藥,乳膏劑,軟管裝,Clobetasol,濕疹；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬；扁平苔癬,濕疹／皮膚炎；自體免疫／免疫發炎相關皮膚疾病；乾癬／牛皮癬；扁平苔癬,濕疹、牛皮癬、扁平苔癬、盤狀紅斑性狼瘡。,皇佳化學製藥股份有限公司,是,依完整適應症判斷為乾癬／牛皮癬，已排除黴菌感染分類。；依完整適應症判斷為扁平苔癬，已排除黴菌感染分類。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第035471號；https://mcp.fda.gov.tw/insert/lablefiles/0fcf3c6e-fca1-4e01-8089-235bc5158a3b?c=2
"""衛達""克托樂乳膏２％（克多可那挫）","KETOZOL CREAM 2% ""WEIDAR"" (KETOCONAZOLE)",衛署藥製字第035487號,處方藥,乳膏劑,軟管裝;;瓶裝,Ketoconazole,黴菌感染,香港腳／股癬／體癬／黴菌感染,皮膚黴菌和酵母菌所引起的皮膚、頭髮、指甲感染症。,衛達化學製藥股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_2db325d3-3610-44d0-af50-b524cc51b6b1?c=2；https://mcp.fda.gov.tw/insert/lablefiles/f263415d-4727-4386-8c3a-e3f9acfa73a3_3?c=2
"""瑞士""疱康乳膏５０毫克/公克（艾賽可威）","V.F. CREAM 50MG/GM (ACYCLOVIR) ""SWISS""",衛署藥製字第035544號,處方藥,乳膏劑,鋁軟管;;PP 塑膠瓶裝  (polypropylene),Acyclovir,病毒感染；抗病毒相關,病毒感染／抗病毒相關,單純疱疹引起之感染。,瑞士藥廠股份有限公司,是,依完整適應症判斷為疱疹／皰疹相關病毒感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_0e7e558e-c856-4214-82a3-1c867f4c9c93?c=2
"""黃氏""益而爽軟膏400毫克/公克（氧化鋅）","ZNOXIDE OINTMENT 400MG/GM (ZINC OXIDE) ""H.S.""",衛署藥製字第035646號,指示藥,軟膏劑,瓶裝;;軟管裝,Zinc oxide,待人工確認,其他常見皮膚外用藥,緩解尿布疹。,黃氏製藥股份有限公司,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/衛署藥製字第035646號；https://mcp.fda.gov.tw/insert/lablefiles/0fd5bb58-1f38-4811-b3d6-ba832941808b?c=2;https://mcp.fda.gov.tw/insert/lablefiles/25f907b3-a2fa-41a6-8b20-589fba68c4b8?c=2;https://mcp.fda.gov.tw/insert/lablefiles/31306cd5-eb75-4f90-a22b-495ea0c95788?c=2;https://mcp.fda.gov.tw/insert/lablefiles/0bac5407-d335-4a65-afa6-3268d66110ab?c=2
